,name,position,start_games,sub_games,mins,goals,assists,shot_per_game,offsides_per_game,total_shots,team,year_start,year_end,league,fouls_per_game,total_fouls,yellow_cards,red_cards,clean_sheets,points,xG,xA,mapped_position,number_of_positions,rating,rating_mls_formula
868,Leon Goretzka, M(CR),23,7,2021,8,4,1.8,0,54,Bayern Munich,2018,2019,bundesliga,0.9,27,3,0,12,78,7.112090826,3.493873892,Midfielder,2,6.96,4.354938844
869,Manuel Neuer, GK,26,0,2303,0,0,0,0,0,Bayern Munich,2018,2019,bundesliga,0,0,1,0,12,78,0,0,Goalkeeper,1,6.34,3.85427202
870,Arjen Robben," M(CLR),FW",7,5,564,4,0,1.8,0.4,21.6,Bayern Munich,2018,2019,bundesliga,0.4,4.8,0,1,12,78,4.038107866,1.878619235,Midfielder Forward,4,6.61,3.453260456
871,Sven Ulreich, GK,8,1,757,0,0,0,0,0,Bayern Munich,2018,2019,bundesliga,0,0,0,0,12,78,0,0,Goalkeeper,1,6.35,3.28041
872,Renato Sanches, M(CR),4,13,567,1,1,1,0.1,17,Bayern Munich,2018,2019,bundesliga,0.6,10.2,1,1,12,78,0.789729433,0.820395373,Midfielder,2,6.36,2.639334928
873,Sandro Wagner, FW,1,6,140,0,0,0.4,0,2.8,Bayern Munich,2018,2019,bundesliga,0.1,0.7,2,0,12,78,0.444174677,0.060196124,Forward,1,6.17,1.192079365
874,Jamal Musiala, M(CL),0,1,2,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Midfielder,2,6.04,43.81666667
875,Renato Sanches, M(CR),0,1,5,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Midfielder,2,6.05,17.96666667
876,Chris Richards, D(C),0,1,6,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Defender,1,6.04,15.36666667
877,Joshua Kimmich," D(CR),DMC,M(R)",32,1,2822,4,7,0.8,0.1,26.4,Bayern Munich,2019,2020,bundesliga,0.8,26.4,7,0,14,82,1.029655874,8.446620445,Defender Defensive Midfielder Midfielder,4,7.4,9.814256333
878,Leon Dajaku, M(R),0,2,11,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Midfielder,1,6.06,8.456060606
879,Oliver Batista Meier, AM(CL),0,1,12,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Midfielder,2,5.97,8.108333333
880,Philippe Coutinho, M(CLR),15,8,1414,8,6,2.5,0.1,57.5,Bayern Munich,2019,2020,bundesliga,0.2,4.6,0,0,14,82,9.068953488,4.277329549,Midfielder,3,7.22,8.025706808
881,Benjamin Pavard," D(CLR),M(R)",31,1,2790,4,4,0.7,0.1,22.4,Bayern Munich,2019,2020,bundesliga,1.3,41.6,5,0,14,82,1.887270503,3.503546087,Defender Midfielder,4,7.19,7.977898815
882,Kwasi Okyere Wriedt, FW,0,1,13,0,0,1,1,1,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0.023352325,0,Forward,1,6.05,6.971794872
883,Robert Lewandowski, FW,31,0,2762,34,4,4.5,0.5,139.5,Bayern Munich,2019,2020,bundesliga,1,31,5,0,14,82,31.19676423,7.271124899,Forward,1,8.13,6.878408969
884,David Alaba," D(CL),M(CL)",27,1,2498,1,1,0.7,0,19.6,Bayern Munich,2019,2020,bundesliga,0.4,11.2,0,0,14,82,0.831773272,2.056087825,Defender Midfielder,4,6.99,6.267440851
885,Alphonso Davies," D(L),M(LR)",24,5,2234,3,5,0.4,0.2,11.6,Bayern Munich,2019,2020,bundesliga,0.9,26.1,2,1,14,82,2.369361278,4.25958269,Defender Midfielder,3,7.52,6.120888761
886,Serge Gnabry," AM(CLR),FW",26,5,2203,12,10,3.1,0.5,96.1,Bayern Munich,2019,2020,bundesliga,0.5,15.5,0,0,14,82,14.1724937,12.49870135,Midfielder Forward,4,7.49,5.597324588
887,Joshua Zirkzee, FW,3,6,295,4,0,1.2,0.2,10.8,Bayern Munich,2019,2020,bundesliga,0.2,1.8,0,0,14,82,2.658632778,0.022704296,Forward,1,6.57,5.52994447
888,Niklas Süle, D(CR),8,0,642,0,1,0.8,0,6.4,Bayern Munich,2019,2020,bundesliga,0.8,6.4,1,0,14,82,0.580936883,0.5250386,Defender,2,6.86,5.372386148
889,Thomas Müller," M(CLR),FW",26,7,2260,8,21,1.6,0.3,52.8,Bayern Munich,2019,2020,bundesliga,0.5,16.5,5,0,14,82,8.575403262,15.50623946,Midfielder Forward,4,7.42,5.355618431
890,Kingsley Coman," M(LR),FW",17,7,1507,4,3,1.5,0.2,36,Bayern Munich,2019,2020,bundesliga,0.5,12,2,0,14,82,5.28509045,5.059591582,Midfielder Forward,3,7.13,4.76888953
891,Corentin Tolisso," D(R),M(CR)",7,6,638,1,2,1.2,0,15.6,Bayern Munich,2019,2020,bundesliga,0.5,6.5,0,0,14,82,1.247942133,1.760685738,Defender Midfielder,3,6.68,4.764538442
892,Leon Goretzka, M(CR),17,7,1513,6,5,1.6,0,38.4,Bayern Munich,2019,2020,bundesliga,1,24,2,0,14,82,5.848046843,3.093335181,Midfielder,2,7.17,4.272200225
893,Manuel Neuer, GK,33,0,2970,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,0,0,14,82,0,0,Goalkeeper,1,6.77,4.227609428
894,Ivan Perisic," M(CLR),FW",11,11,1204,4,3,1.8,0.4,39.6,Bayern Munich,2019,2020,bundesliga,0.8,17.6,1,0,14,82,4.253871977,3.377853699,Midfielder Forward,4,6.78,4.069009702
895,Jérôme Boateng, D(CR),23,1,1802,0,2,0.3,0,7.2,Bayern Munich,2019,2020,bundesliga,0.8,19.2,5,1,14,82,0.229615118,1.41739206,Defender,2,6.85,3.502305357
896,Lucas Hernández, D(CL),10,9,916,0,1,0.2,0,3.8,Bayern Munich,2019,2020,bundesliga,0.7,13.3,3,0,14,82,0.490267385,1.126978077,Defender,2,6.51,3.094808163
897,Sarpreet Singh, AM(CLR),1,1,72,0,0,0.5,0.5,1,Bayern Munich,2019,2020,bundesliga,1.5,3,0,0,14,82,0.05375953,0,Midfielder,3,6.26,2.922222222
898,Sven Ulreich, GK,2,0,91,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0,0,1,0,14,82,0,0,Goalkeeper,1,6.21,2.571245421
899,Álvaro Odriozola, D(R),2,1,153,0,0,0,0,0,Bayern Munich,2019,2020,bundesliga,0.3,0.9,0,0,14,82,0,0.699760288,Defender,1,6.68,2.473084967
900,Michaël Cuisance, AM(C),3,6,303,1,0,1.3,0,11.7,Bayern Munich,2019,2020,bundesliga,1.2,10.8,1,0,14,82,0.657807553,0.175316097,Midfielder,1,6.7,2.355513664
901,Javi Martínez," D(C),M(C)",6,10,673,0,0,0.1,0.1,1.6,Bayern Munich,2019,2020,bundesliga,0.8,12.8,3,1,14,82,0.131208688,0.095659669,Defender Midfielder,2,6.6,0.904394048
902,Bouna Sarr," D(R),M(CLR)",5,3,450,0,1,0.4,0,3.2,Bayern Munich,2020,2021,bundesliga,1.4,11.2,1,0,9,78,0.053497839,0.074988006,Defender Midfielder,4,6.61,15.76202155
903,Alphonso Davies," D(L),M(LR)",22,1,1769,1,2,0.2,0.1,4.6,Bayern Munich,2020,2021,bundesliga,0.6,13.8,2,1,9,78,0.130833575,1.885762069,Defender Midfielder,3,7.04,12.4375069
904,Jérôme Boateng, D(CR),29,0,2379,1,1,0.3,0,8.7,Bayern Munich,2020,2021,bundesliga,0.8,23.2,6,0,9,78,0.337433246,0.723447502,Defender,2,6.74,8.058481641
905,David Alaba," D(CL),M(CL)",30,2,2676,2,3,0.7,0,22.4,Bayern Munich,2020,2021,bundesliga,0.6,19.2,4,0,9,78,0.96902536,1.984583599,Defender Midfielder,4,6.79,7.64184563
906,Joshua Kimmich," D(CR),DMC,M(R)",25,2,2197,4,10,1.4,0,37.8,Bayern Munich,2020,2021,bundesliga,0.7,18.9,4,0,9,78,2.479680163,5.316634966,Defender Defensive Midfielder Midfielder,4,7.57,7.34907291
907,Robert Lewandowski, FW,28,1,2463,41,7,4.7,0.7,136.3,Bayern Munich,2020,2021,bundesliga,1.4,40.6,4,0,9,78,32.07735199,4.815550104,Forward,1,8.07,6.992928243
908,Thomas Müller," M(CLR),FW",31,1,2683,11,18,1.6,0.4,51.2,Bayern Munich,2020,2021,bundesliga,0.7,22.4,0,0,9,78,7.856027272,11.30657675,Midfielder Forward,4,7.51,6.966628494
909,Jamal Musiala, M(CL),7,19,871,6,1,1,0.1,26,Bayern Munich,2020,2021,bundesliga,0.5,13,0,0,9,78,2.882997874,0.659742728,Midfielder,2,6.74,6.596338027
910,Douglas Costa, M(CLR),3,8,316,1,1,0.4,0.3,4.4,Bayern Munich,2020,2021,bundesliga,0.6,6.6,0,0,9,78,0.167624798,0.811307736,Midfielder,3,6.41,6.355703472
911,Serge Gnabry," AM(CLR),FW",20,7,1654,10,2,2.2,0.2,59.4,Bayern Munich,2020,2021,bundesliga,0.8,21.6,4,0,9,78,7.765028518,6.910004821,Midfielder Forward,4,7.18,5.799505606
912,Kingsley Coman," M(LR),FW",23,6,1767,5,10,1.8,0.2,52.2,Bayern Munich,2020,2021,bundesliga,0.4,11.6,1,0,9,78,4.1304191,5.677488848,Midfielder Forward,3,7.11,5.620020703
913,Michaël Cuisance, AM(C),0,1,18,0,0,0,0,0,Bayern Munich,2020,2021,bundesliga,0,0,0,0,9,78,0,0,Midfielder,1,6.09,5.183333333
914,Leroy Sané," M(CLR),FW",18,14,1807,6,9,1.8,0.2,57.6,Bayern Munich,2020,2021,bundesliga,0.4,12.8,2,0,9,78,5.361089196,6.477919186,Midfielder Forward,4,6.94,5.134429816
915,Niklas Süle, D(CR),16,4,1503,1,0,1,0,20,Bayern Munich,2020,2021,bundesliga,0.5,10,1,0,9,78,0.691289414,0.297589141,Defender,2,6.97,5.112117706
916,Leon Goretzka, M(CR),18,6,1707,5,5,1.8,0,43.2,Bayern Munich,2020,2021,bundesliga,1.1,26.4,2,0,9,78,3.741091866,3.053967172,Midfielder,2,7.2,4.500277825
917,Lucas Hernández, D(CL),18,5,1600,0,2,0.2,0,4.6,Bayern Munich,2020,2021,bundesliga,0.7,16.1,4,0,9,78,0.787881354,1.539609103,Defender,2,6.98,4.244302166
918,Manuel Neuer, GK,33,0,2970,0,0,0,0,0,Bayern Munich,2020,2021,bundesliga,0,0,1,0,9,78,0,0.233359993,Goalkeeper,1,6.61,4.125925926
919,Alexander Nübel, GK,1,0,90,0,0,0,0,0,Bayern Munich,2020,2021,bundesliga,0,0,0,0,9,78,0,0,Goalkeeper,1,6.32,4
920,Josip Stanisic, D(R),1,0,90,0,0,2,0,2,Bayern Munich,2020,2021,bundesliga,1,1,0,0,9,78,0.065178961,0,Defender,1,6.93,3.977777778
921,Benjamin Pavard," D(CLR),M(R)",22,2,1944,0,0,0.5,0,12,Bayern Munich,2020,2021,bundesliga,0.8,19.2,3,0,9,78,0.252724146,1.481578577,Defender Midfielder,4,6.89,3.441691358
922,Christopher Scott, Midfielder,0,2,32,0,0,0.5,0,1,Bayern Munich,2020,2021,bundesliga,0,0,0,0,9,78,0.035863694,0,Midfielder,1,6.19,3.252083333
923,Tiago Dantas, DMC,1,1,69,0,0,0,0,0,Bayern Munich,2020,2021,bundesliga,0,0,0,0,9,78,0,0.051758427,Defensive Midfielder,1,6.3,2.574637681
924,Corentin Tolisso," D(R),M(CR)",7,9,778,1,0,0.8,0.1,12.8,Bayern Munich,2020,2021,bundesliga,0.8,12.8,1,1,9,78,2.667631499,0.373662552,Defender Midfielder,3,6.48,2.570953844
925,Joshua Zirkzee, FW,1,2,92,0,0,1.3,0.3,3.9,Bayern Munich,2020,2021,bundesliga,0.7,2.1,0,0,9,78,0.222794473,0.092484832,Forward,1,6.1,1.984874396
926,Javi Martínez," D(C),M(C)",4,15,457,0,0,0.1,0,1.9,Bayern Munich,2020,2021,bundesliga,0.1,1.9,0,0,9,78,0.069100435,0.424014896,Defender Midfielder,2,6.37,1.975723265
927,Marc Roca, DMC,2,4,175,0,0,0.5,0,3,Bayern Munich,2020,2021,bundesliga,1,6,1,0,9,78,0.279618099,0.018839072,Defensive Midfielder,1,6.09,1.554126984
928,Erik Durm," D(LR),M(LR)",18,0,1585,1,1,0.6,0,10.8,Borussia Dortmund,2014,2015,bundesliga,1.1,19.8,2,0,9,46,0.419323851,1.402427079,Defender Midfielder,4,6.91,6.8888986
929,Oliver Kirch," D(R),M(C)",5,1,434,0,1,1,0.2,6,Borussia Dortmund,2014,2015,bundesliga,1.2,7.2,0,0,9,46,0.277301732,0.351334389,Defender Midfielder,2,7.05,5.964787927
930,Mats Hummels, D(C),23,1,2032,2,0,0.9,0,21.6,Borussia Dortmund,2014,2015,bundesliga,0.7,16.8,2,0,9,46,0.959442329,0.525738501,Defender,1,7.6,5.6496788
931,Mitsuru Maruoka, Midfielder,0,1,10,0,0,0,0,0,Borussia Dortmund,2014,2015,bundesliga,1,1,0,0,9,46,0,0.018032046,Midfielder,1,6.44,5.366666667
932,Jeremy Dudziak," D(LR),M(CL)",0,3,60,0,1,0,0,0,Borussia Dortmund,2014,2015,bundesliga,0,0,0,0,9,46,0,0.348204911,Defender Midfielder,4,6.62,5.271872191
933,Pierre-Emerick Aubameyang," M(CLR),FW",31,2,2723,16,6,3.1,0.9,102.3,Borussia Dortmund,2014,2015,bundesliga,1.1,36.3,4,0,9,46,15.39676004,6.378020297,Midfielder Forward,4,7.07,5.189607068
934,Shinji Kagawa, M(CL),23,5,1880,5,5,1.4,0.4,39.2,Borussia Dortmund,2014,2015,bundesliga,0.8,22.4,2,0,9,46,5.051944455,3.917682644,Midfielder,2,6.78,4.893719084
935,Joseph-Claude Gyau," D(R),M(LR)",0,1,16,0,0,0,0,0,Borussia Dortmund,2014,2015,bundesliga,0,0,0,0,9,46,0,0.064717256,Defender Midfielder,3,6.43,4.470833333
936,Marco Reus," M(CLR),FW",18,2,1571,7,5,3.3,1.2,66,Borussia Dortmund,2014,2015,bundesliga,1.4,28,1,0,9,46,7.951785371,5.261479151,Midfielder Forward,4,7.54,4.460693423
937,Ilkay Gündogan, M(C),22,1,1911,3,4,1.7,0,39.1,Borussia Dortmund,2014,2015,bundesliga,0.9,20.7,2,0,9,46,2.229732049,3.229162617,Midfielder,1,7.16,4.414631067
938,Matthias Ginter," D(CR),DMC",9,5,840,0,1,1,0,14,Borussia Dortmund,2014,2015,bundesliga,1,14,1,0,9,46,0.416170895,0.590280762,Defender Defensive Midfielder,3,6.76,4.287759876
939,Kevin Großkreutz," D(LR),M(CLR)",12,5,1047,0,2,0.8,0.4,13.6,Borussia Dortmund,2014,2015,bundesliga,0.8,13.6,2,0,9,46,0.983283779,1.517845095,Defender Midfielder,5,6.48,4.018887774
940,Lukasz Piszczek," D(CR),M(R)",19,3,1654,0,1,0.5,0,11,Borussia Dortmund,2014,2015,bundesliga,0.5,11,4,0,9,46,0.934800006,1.422404732,Defender Midfielder,3,6.79,3.965913875
941,Roman Weidenfeller, GK,25,0,2250,0,0,0,0,0,Borussia Dortmund,2014,2015,bundesliga,0,0,0,0,9,46,0,0,Goalkeeper,1,6.4,3.953777778
942,Marcel Schmelzer," D(CL),M(L)",22,0,1920,0,2,1.2,0.1,26.4,Borussia Dortmund,2014,2015,bundesliga,1.3,28.6,4,0,9,46,0.821458397,2.391752226,Defender Midfielder,3,7.16,3.878450706
943,Neven Subotic, D(C),24,4,2275,2,0,0.7,0,19.6,Borussia Dortmund,2014,2015,bundesliga,1.3,36.4,9,0,9,46,1.089241225,0.466198986,Defender,1,7.12,3.860966486
944,Nuri Sahin, M(C),6,1,544,1,0,1.9,0,13.3,Borussia Dortmund,2014,2015,bundesliga,1.1,7.7,0,0,9,46,0.76930448,0.852055347,Midfielder,1,7.44,3.694175281
945,Henrikh Mkhitaryan," M(CLR),FW",21,7,1921,3,4,2.5,0.4,70,Borussia Dortmund,2014,2015,bundesliga,1,28,4,0,9,46,5.736274187,6.63258483,Midfielder Forward,4,7.33,3.584572253
946,Mitchell Langerak, GK,9,0,810,0,0,0,0,0,Borussia Dortmund,2014,2015,bundesliga,0,0,0,0,9,46,0,0,Goalkeeper,1,6.35,3.456790123
947,Ciro Immobile, FW,9,15,955,3,1,1.8,0.5,43.2,Borussia Dortmund,2014,2015,bundesliga,0.4,9.6,1,0,9,46,4.78348317,0.682371086,Forward,1,6.36,3.033697096
948,Adrián Ramos, FW,6,12,712,2,2,1.1,0.6,19.8,Borussia Dortmund,2014,2015,bundesliga,0.9,16.2,0,0,9,46,2.958767515,1.453199927,Forward,1,6.5,2.937927061
949,Sebastian Kehl, M(C),20,1,1695,0,1,0.4,0,8.4,Borussia Dortmund,2014,2015,bundesliga,1.5,31.5,3,0,9,46,0.276869496,1.058082422,Midfielder,1,6.82,2.666389091
950,Jakub Blaszczykowski," D(R),M(CR)",6,7,599,0,0,0.5,0,6.5,Borussia Dortmund,2014,2015,bundesliga,0.5,6.5,0,0,9,46,1.210137276,0.883585613,Defender Midfielder,3,6.67,2.435795414
951,Kevin Kampl, M(CLR),8,5,723,0,1,0.8,0.6,10.4,Borussia Dortmund,2014,2015,bundesliga,1.6,20.8,2,0,9,46,0.627245711,1.544647717,Midfielder,3,6.69,2.224798617
952,Sven Bender," D(C),M(C)",14,6,1253,0,0,0.3,0,6,Borussia Dortmund,2014,2015,bundesliga,1.4,28,2,0,9,46,0.116130101,0.896598455,Defender Midfielder,2,6.97,2.162659839
953,Milos Jojic, M(CLR),5,5,513,0,0,1.4,0,14,Borussia Dortmund,2014,2015,bundesliga,1.6,16,3,0,9,46,0.473270379,0.332417971,Midfielder,3,6.46,1.821539961
954,Mats Hummels, D(C),29,1,2496,2,2,0.4,0,12,Borussia Dortmund,2015,2016,bundesliga,0.6,18,1,0,12,78,1.575222984,0.658151069,Defender,1,7.35,8.404658073
955,Gonzalo Castro," D(L),M(CR)",16,9,1484,3,7,0.8,0.1,20,Borussia Dortmund,2015,2016,bundesliga,0.5,12.5,1,0,12,78,2.293620126,5.245097557,Defender Midfielder,3,7,7.325909226
956,Matthias Ginter," D(CR),DMC",21,3,1890,3,4,0.7,0,16.8,Borussia Dortmund,2015,2016,bundesliga,0.9,21.6,0,0,12,78,1.728798093,3.025411068,Defender Defensive Midfielder,3,7.17,7.204941381
957,Shinji Kagawa, M(CL),26,3,2172,9,7,1.1,0.2,31.9,Borussia Dortmund,2015,2016,bundesliga,0.9,26.1,2,0,12,78,6.684759825,5.904192062,Midfielder,2,7.06,6.934694003
958,Christian Pulisic," M(CLR),FW",4,5,387,2,0,0.9,0.1,8.1,Borussia Dortmund,2015,2016,bundesliga,0.4,3.6,1,0,12,78,0.93338228,0.963072836,Midfielder Forward,4,6.88,6.368092071
959,Pierre-Emerick Aubameyang," M(CLR),FW",28,3,2475,25,5,3.8,0.9,117.8,Borussia Dortmund,2015,2016,bundesliga,0.9,27.9,4,0,12,78,28.18975608,6.562238052,Midfielder Forward,4,7.31,5.675380418
960,Marco Reus," M(CLR),FW",24,2,1927,12,3,2.4,1.4,62.4,Borussia Dortmund,2015,2016,bundesliga,0.9,23.4,2,0,12,78,11.66671169,6.784378193,Midfielder Forward,4,7.2,4.959829767
961,Marcel Schmelzer," D(CL),M(L)",22,4,2059,0,4,0.8,0.1,20.8,Borussia Dortmund,2015,2016,bundesliga,0.9,23.4,2,0,12,78,0.881696211,3.395239549,Defender Midfielder,3,6.92,4.53569825
962,Adrián Ramos, FW,9,18,931,9,4,1.4,0.4,37.8,Borussia Dortmund,2015,2016,bundesliga,0.7,18.9,0,0,12,78,8.745113226,2.168009609,Forward,1,6.76,4.379668294
963,Nuri Sahin, M(C),6,3,506,0,2,0.4,0,3.6,Borussia Dortmund,2015,2016,bundesliga,0.9,8.1,1,0,12,78,0.171437798,0.299154013,Midfielder,1,6.63,4.317246593
964,Henrikh Mkhitaryan," M(CLR),FW",28,3,2578,11,15,2.6,0.6,80.6,Borussia Dortmund,2015,2016,bundesliga,1.7,52.7,5,0,12,78,11.49496713,15.88193513,Midfielder Forward,4,7.9,4.14433589
965,Roman Bürki, GK,33,0,2970,0,0,0,0,0,Borussia Dortmund,2015,2016,bundesliga,0,0,1,0,12,78,0,0,Goalkeeper,1,6.55,4.125925926
966,Lukasz Piszczek," D(CR),M(R)",16,4,1519,0,3,0.7,0,14,Borussia Dortmund,2015,2016,bundesliga,0.5,10,3,0,12,78,0.333148895,3.740993073,Defender Midfielder,3,7.15,4.125663577
967,Roman Weidenfeller, GK,1,0,90,0,0,0,0,0,Borussia Dortmund,2015,2016,bundesliga,0,0,0,0,12,78,0,0,Goalkeeper,1,6.9,4
968,Erik Durm," D(LR),M(LR)",10,4,865,1,1,0.9,0,12.6,Borussia Dortmund,2015,2016,bundesliga,0.9,12.6,2,0,12,78,1.867977772,2.24943294,Defender Midfielder,4,6.83,3.921140318
969,Ilkay Gündogan, M(C),22,3,1994,1,3,2,0,50,Borussia Dortmund,2015,2016,bundesliga,1,25,1,0,12,78,3.782645057,4.097143448,Midfielder,1,7.43,3.41529625
970,Moritz Leitner, M(CR),2,7,320,0,1,0.7,0,6.3,Borussia Dortmund,2015,2016,bundesliga,0.4,3.6,0,0,12,78,0.646497305,0.291301174,Midfielder,2,6.5,3.245580426
971,Felix Passlack," D(LR),M(CR)",2,1,181,0,0,0,0,0,Borussia Dortmund,2015,2016,bundesliga,0.3,0.9,0,0,12,78,0,0.068388201,Defender Midfielder,4,6.61,3.151888275
972,Sven Bender," D(C),M(C)",14,5,1245,0,0,0.2,0,3.8,Borussia Dortmund,2015,2016,bundesliga,0.6,11.4,1,0,12,78,0.631279889,0.761989716,Defender Midfielder,2,6.91,3.09807398
973,Neven Subotic, D(C),5,1,463,0,0,0.3,0,1.8,Borussia Dortmund,2015,2016,bundesliga,0.8,4.8,2,0,12,78,0.056124505,0.116128832,Defender,1,6.98,2.734333093
974,Julian Weigl," D(C),DMC",25,5,2249,0,0,0.3,0,9,Borussia Dortmund,2015,2016,bundesliga,1.1,33,5,0,12,78,0.226108238,1.26957403,Defender Defensive Midfielder,2,7.04,2.678067783
975,Adnan Januzaj, AM(CLR),0,6,160,0,1,0.7,0.2,4.2,Borussia Dortmund,2015,2016,bundesliga,1,6,0,0,12,78,0.658875525,1.078081802,Midfielder,3,6.53,2.260580022
976,Sven Bender," D(C),M(C)",3,3,273,0,1,0.3,0,1.8,Borussia Dortmund,2016,2017,bundesliga,0.5,3,0,0,7,64,0.083022982,0.046315435,Defender Midfielder,2,6.49,24.11030496
977,Lukasz Piszczek," D(CR),M(R)",23,2,2036,5,1,0.8,0,20,Borussia Dortmund,2016,2017,bundesliga,0.7,17.5,1,0,7,64,2.632456562,2.149531795,Defender Midfielder,3,7.1,6.951429393
978,Pierre-Emerick Aubameyang," M(CLR),FW",31,1,2782,31,2,3.6,0.9,115.2,Borussia Dortmund,2016,2017,bundesliga,0.7,22.4,3,0,7,64,31.14499611,4.501560077,Midfielder Forward,4,7.42,6.574615306
979,Adrián Ramos, FW,4,3,356,2,1,1.7,0.1,11.9,Borussia Dortmund,2016,2017,bundesliga,1.6,11.2,2,0,7,64,1.151927849,1.338148968,Forward,1,7.02,6.040790725
980,Gonzalo Castro," D(L),M(CR)",23,5,1927,3,6,1.1,0,30.8,Borussia Dortmund,2016,2017,bundesliga,0.8,22.4,5,0,7,64,2.379763755,4.658895741,Defender Midfielder,3,6.97,5.701716784
981,Matthias Ginter," D(CR),DMC",26,3,2475,0,1,0.7,0.1,20.3,Borussia Dortmund,2016,2017,bundesliga,0.7,20.3,4,0,7,64,1.478456564,0.857809914,Defender Defensive Midfielder,3,6.8,4.791576919
982,Ousmane Dembélé," AM(CLR),FW",22,10,2042,6,12,1.7,0.2,54.4,Borussia Dortmund,2016,2017,bundesliga,0.8,25.6,7,0,7,64,5.106050324,11.50742442,Midfielder Forward,4,7.44,4.666618138
983,Christian Pulisic," M(CLR),FW",15,14,1518,3,6,1.1,0.1,31.9,Borussia Dortmund,2016,2017,bundesliga,0.8,23.2,1,0,7,64,4.003485687,4.723406471,Midfielder Forward,4,6.88,4.614952571
984,Mario Götze," M(CLR),FW",9,2,763,1,1,0.5,0.2,5.5,Borussia Dortmund,2016,2017,bundesliga,1.5,16.5,1,0,7,64,1.166242689,1.187473956,Midfielder Forward,4,6.7,4.519727946
985,Erik Durm," D(LR),M(LR)",10,3,976,0,2,0.7,0.2,9.1,Borussia Dortmund,2016,2017,bundesliga,0.7,9.1,1,0,7,64,0.710748952,1.818195659,Defender Midfielder,4,6.8,4.380808917
986,Marc Bartra," D(CR),DMC",18,1,1561,0,3,1.1,0.1,20.9,Borussia Dortmund,2016,2017,bundesliga,1.7,32.3,5,0,7,64,1.060568267,1.671032129,Defender Defensive Midfielder,3,7.24,4.062935179
987,Sebastian Rode," D(R),M(C)",5,9,575,1,0,0.4,0,5.6,Borussia Dortmund,2016,2017,bundesliga,0.6,8.4,0,0,7,64,0.852939071,0.56801879,Defender Midfielder,2,6.46,4.023542981
988,Roman Bürki, GK,27,0,2430,0,0,0,0,0,Borussia Dortmund,2016,2017,bundesliga,0,0,2,0,7,64,0,0,Goalkeeper,1,6.67,3.825514403
989,Shinji Kagawa, M(CL),13,8,1259,1,6,1,0.1,21,Borussia Dortmund,2016,2017,bundesliga,0.8,16.8,3,0,7,64,2.678235583,6.087065316,Midfielder,2,6.82,3.686992988
990,Dzenis Burnic, M(C),1,0,90,0,0,0,0,0,Borussia Dortmund,2016,2017,bundesliga,1,1,1,0,7,64,0,0.05581582,Midfielder,1,6.33,3.666666667
991,Marcel Schmelzer," D(CL),M(L)",25,1,2195,0,1,1,0.2,26,Borussia Dortmund,2016,2017,bundesliga,1.3,33.8,3,0,7,64,1.180884306,1.945423074,Defender Midfielder,3,6.94,3.519870396
992,Marco Reus," M(CLR),FW",16,1,1190,7,4,2.5,0.9,42.5,Borussia Dortmund,2016,2017,bundesliga,1.5,25.5,1,1,7,64,8.953462198,4.654696953,Midfielder Forward,4,7.15,3.43869211
993,Roman Weidenfeller, GK,7,0,630,0,0,0,0,0,Borussia Dortmund,2016,2017,bundesliga,0,0,0,0,7,64,0,0,Goalkeeper,1,6.06,3.434920635
994,André Schürrle," M(CLR),FW",8,7,745,2,2,2.4,0.6,36,Borussia Dortmund,2016,2017,bundesliga,0.6,9,3,0,7,64,3.693187483,1.827947665,Midfielder Forward,4,6.89,3.252958537
995,Julian Weigl," D(C),DMC",27,3,2416,0,0,0.2,0,6,Borussia Dortmund,2016,2017,bundesliga,1.1,33,2,0,7,64,0.241669208,0.714392733,Defender Defensive Midfielder,2,7.07,3.215194996
996,Felix Passlack," D(LR),M(CR)",6,4,534,0,0,0.3,0,3,Borussia Dortmund,2016,2017,bundesliga,0.5,5,1,0,7,64,0.038692968,0.40169578,Defender Midfielder,4,6.62,2.610961298
997,Emre Mor," AM(CLR),FW",5,7,476,1,2,0.8,0,9.6,Borussia Dortmund,2016,2017,bundesliga,0.8,9.6,0,1,7,64,1.170034528,1.468017133,Midfielder Forward,4,6.71,2.341677074
998,Nuri Sahin, M(C),4,1,232,0,0,0.2,0,1,Borussia Dortmund,2016,2017,bundesliga,0.6,3,1,0,7,64,0.069348358,0.433679625,Midfielder,1,6.59,1.918534483
999,Mikel Merino, M(C),2,6,293,0,0,0.6,0,4.8,Borussia Dortmund,2016,2017,bundesliga,0.6,4.8,1,0,7,64,0.508141082,0.248117663,Midfielder,1,6.54,1.477383959
